name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,3,8640
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,0,0,1,7362
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,1,3879
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,1,2745
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,0,4455
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,0,2592
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,4,11556
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,0,0,0,4050
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,10,7182
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,5,6939
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,2,4041
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,1,3717
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,1,4041
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,0,2916
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,2,4122
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,3,2970
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,0,3726
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,0,2592
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,0,9072
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,0,3,9612
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,9,18333
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,0,14,12906
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,0,0,2,5337
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,3,4518
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,1,4365
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,0,2754
Producer Price Index YoY,A,2019-09-11 12:30:00+00:00,0,0,1,3798
Producer Price Index YoY,D,2019-10-08 12:30:00+00:00,0,0,0,2997
Wholesale Inventories,A,2019-11-26 13:30:00+00:00,0,0,1,6228
Wholesale Inventories,D,2019-12-30 13:30:00+00:00,0,0,4,4365
Markit Manufacturing PMI,A,2019-12-02 14:45:00+00:00,0,0,12,7506
Markit Manufacturing PMI,D,2019-11-01 13:45:00+00:00,0,0,11,6192
Markit Services PMI,A,2019-12-16 14:45:00+00:00,0,0,6,5652
Markit Services PMI,D,2019-11-05 14:45:00+00:00,0,0,3,5328
NAHB Housing Market Index,A,2019-12-16 15:00:00+00:00,0,0,2,5004
NAHB Housing Market Index,D,2019-11-18 15:00:00+00:00,0,0,0,3240
Consumer Price Index ex Food  Energy MoM,A,2019-12-11 13:30:00+00:00,0,0,6,4914
Housing Starts MoM,A,2019-12-17 13:30:00+00:00,0,0,1,4446
Housing Starts MoM,D,2019-10-17 12:30:00+00:00,0,0,3,3798
Retail Sales ex Autos MoM,A,2019-08-15 12:30:00+00:00,0,0,1,3798
Retail Sales ex Autos MoM,D,2019-12-13 13:30:00+00:00,0,0,0,3321
Redbook Index YoY,A,2019-12-31 13:55:00+00:00,0,0,14,17451
Redbook Index YoY,D,2019-12-17 13:55:00+00:00,0,0,9,13707
Redbook Index MoM,A,2019-12-31 13:55:00+00:00,0,0,18,19944
Redbook Index MoM,D,2019-12-17 13:55:00+00:00,0,0,5,11214
ISM Manufacturing PMI,A,2019-04-01 14:00:00+00:00,0,0,0,4617
ISM Manufacturing PMI,D,2019-12-02 15:00:00+00:00,0,0,1,3636
SPCase-Shiller Home Price Indices YoY,A,2019-12-31 14:00:00+00:00,0,0,2,3951
SPCase-Shiller Home Price Indices YoY,D,2019-09-24 13:00:00+00:00,0,0,0,2916
Factory Orders MoM,A,2019-12-05 15:00:00+00:00,0,0,4,3303
Factory Orders MoM,D,2019-11-04 15:00:00+00:00,0,0,6,2502
EIA Crude Oil Stocks Change,A,2019-12-11 15:30:00+00:00,0,0,9,16884
EIA Crude Oil Stocks Change,B,2019-09-05 15:00:00+00:00,0,0,2,3141
EIA Crude Oil Stocks Change,C,2019-12-18 15:30:00+00:00,0,1,4,4995
EIA Crude Oil Stocks Change,D,2019-12-27 16:00:00+00:00,0,0,7,16479
Consumer Credit Change,A,2019-12-06 20:00:00+00:00,0,0,6,4437
Consumer Credit Change,D,2019-11-07 20:00:00+00:00,0,0,1,3636
Import Price Index MoM,A,2019-12-13 13:30:00+00:00,0,0,0,3159
Import Price Index MoM,D,2019-11-15 13:30:00+00:00,0,0,2,2493
Industrial Production MoM,A,2019-12-17 14:15:00+00:00,0,0,1,3717
Industrial Production MoM,D,2019-11-15 14:15:00+00:00,0,0,3,4113
NY Empire State Manufacturing Index,A,2019-10-14 20:00:00+00:00,0,0,2,3717
NY Empire State Manufacturing Index,D,2019-11-15 13:30:00+00:00,0,0,0,4131
Unemployment Rate,A,2019-11-01 12:30:00+00:00,0,0,2,4689
Unemployment Rate,D,2019-12-06 13:30:00+00:00,0,0,3,3942
Average Weekly Hours,A,2019-12-06 13:30:00+00:00,0,0,4,7029
New Home Sales Change MoM,A,2019-12-23 15:00:00+00:00,0,0,6,3780
New Home Sales Change MoM,D,2019-08-23 14:00:00+00:00,0,0,2,3474
Building Permits MoM,A,2019-12-17 13:30:00+00:00,0,0,0,4455
Building Permits MoM,D,2019-07-17 12:30:00+00:00,0,0,4,3789
Monthly Budget Statement,A,2019-10-25 18:00:00+00:00,0,0,0,3240
Monthly Budget Statement,D,2019-12-11 19:00:00+00:00,0,0,0,2511
New Home Sales MoM,A,2019-11-26 15:00:00+00:00,0,0,3,4032
New Home Sales MoM,D,2019-12-23 15:00:00+00:00,0,0,5,3870
EIA Natural Gas Storage Change,A,2019-12-05 15:30:00+00:00,0,0,3,12447
EIA Natural Gas Storage Change,B,2019-10-17 14:30:00+00:00,0,0,0,2997
EIA Natural Gas Storage Change,C,2019-12-12 15:30:00+00:00,0,0,12,4338
EIA Natural Gas Storage Change,D,2019-12-27 15:30:00+00:00,0,0,5,12861
Net Long-Term TIC Flows,A,2019-11-18 21:00:00+00:00,0,0,5,4671
Net Long-Term TIC Flows,D,2019-10-16 20:00:00+00:00,0,0,1,4041
Consumer Price Index MoM,A,2019-11-13 13:30:00+00:00,0,0,3,3231
Initial Jobless Claims,A,2019-12-12 13:30:00+00:00,0,0,6,15183
Initial Jobless Claims,B,2019-10-17 12:30:00+00:00,0,0,3,4275
Initial Jobless Claims,C,2019-12-19 13:30:00+00:00,0,0,0,4536
Initial Jobless Claims,D,2019-12-26 13:30:00+00:00,0,0,12,15912
Total Net TIC Flows,A,2019-10-16 20:00:00+00:00,0,0,5,4185
Total Net TIC Flows,D,2019-12-16 21:00:00+00:00,0,0,1,4770
CFTC Gold NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,3,8397
CFTC Gold NC Net Positions,D,2019-12-13 20:30:00+00:00,0,0,1,7443
Existing Home Sales MoM,A,2019-09-19 14:00:00+00:00,0,0,5,3951
Existing Home Sales MoM,D,2019-12-19 15:00:00+00:00,0,0,3,4041
Durable Goods Orders ex Transportation,A,2019-11-27 13:30:00+00:00,0,0,1,3069
Durable Goods Orders ex Transportation,D,2019-12-23 13:30:00+00:00,0,0,1,3717
ISM Non-Manufacturing PMI,A,2019-11-05 15:00:00+00:00,0,1,4,4347
ISM Non-Manufacturing PMI,D,2019-12-04 15:00:00+00:00,0,0,9,3933
Capacity Utilization,A,2019-09-17 13:15:00+00:00,0,0,3,3870
Capacity Utilization,D,2019-11-15 14:15:00+00:00,0,0,4,3465
Consumer Price Index YoY,A,2019-12-11 13:30:00+00:00,0,0,5,4113
Consumer Price Index YoY,D,2019-09-12 12:30:00+00:00,0,0,1,2502
Baker Hughes US Oil Rig Count,A,2019-12-20 18:00:00+00:00,0,0,4,10107
Baker Hughes US Oil Rig Count,D,2019-12-27 18:00:00+00:00,0,0,4,8568
CFTC Oil NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,2,7191
CFTC Oil NC Net Positions,D,2019-12-06 20:30:00+00:00,0,0,2,8730
6-Month Bill Auction,A,2019-12-23 16:30:00+00:00,0,0,5,19737
6-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,0,14,11880
Average Hourly Earnings MoM,A,2019-09-06 12:30:00+00:00,0,0,5,4266
Average Hourly Earnings MoM,D,2019-10-04 12:30:00+00:00,0,0,1,3231
Construction Spending MoM,A,2019-11-01 14:00:00+00:00,0,0,2,2979
Construction Spending MoM,D,2019-12-02 15:00:00+00:00,0,0,1,3960
Consumer Price Index ex Food  Energy YoY,A,2019-12-11 13:30:00+00:00,0,0,4,5652
Consumer Price Index ex Food  Energy YoY,D,2019-11-13 13:30:00+00:00,0,0,1,2502
Philadelphia Fed Manufacturing Survey,A,2019-11-21 13:30:00+00:00,0,0,4,3951
Philadelphia Fed Manufacturing Survey,D,2019-12-19 13:30:00+00:00,0,0,1,3636
3-Month Bill Auction,A,2019-12-23 16:30:00+00:00,0,0,4,19008
3-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,0,15,12366
Michigan Consumer Sentiment Index,A,2019-12-20 15:00:00+00:00,0,0,8,8964
Michigan Consumer Sentiment Index,D,2019-10-25 14:00:00+00:00,0,0,11,7488
